1993,Are You Gonna Go My Way?,Rock/Pop,Kravitz| L.| & Ross| C.; REC: Lenny Kravitz
1925,Are You Lonesome Tonight?,Musical/Film,Handman| L.| & Turk| R.; REC: Elvis Presley; ; Leon Redbone
1927,Arkansas Road Blues,Blues,Spivey| Victoria; REC: Victoria Spivey
1997,Around The World,Dance/Electronica,Bangalter| T.| & De Homem-Christo| G.; REC: Daft Punk
1941,Artistry In Rhythm,Swing,Kenton| Stan; REC: Stan Kenton; Pete Rugolo; Duke Ellington; BBC Big Band; Benny Goodman
1989,As Soon As I Find My Shoes, I'm Gone,Folk/Roots,Ferron; REC: Ferron
1966,As Tears Go By,Rock/Pop,Jagger| M.| Richards| K.| & Oldham| A.; REC: The Rolling Stones; Marianne Faithfull
1999,As The World Turns,Hip-Hop,Eminem| Bass| M.| & Bass| J.; REC: Eminem
1967,As The Years Go Passing By,Blues,Malone| Deadric; REC: Albert King; Gary Moore; Santana; The Jeff Healey Band; Magic Sam; John Lee Hooker
1931,As Time Goes By,Musical/Film,Hupfeld| Herman; REC: Dooley Wilson; Billie Holiday; The Famingos; Rod Stewart & Queen Latifah
1996,Ascension (Don't Ever Wonder),R & B/Soul,Musze| & Itaal Shur; REC: Maxwell
1976,Ask The Angels,Rock/Pop,Smith| P.| & Kral| I.; REC: Patti Smith Group
1968,Astral Weeks,R & B/Soul,Morrison| Van; REC: Van Morrison
1967,Astronomy Domine,Rock/Pop,Barrett| Syd; REC: Pink Floyd; Nash The Slash; Gary Lucas; Voivod
1942,At Last,Jazz,Warren| H.| & Gordon| M.; REC: Etta James; Joni Mitchell; Phoebe Snow
1993,At Les,Dance/Electronica,Craig| Carl; REC: Carl Craig
1975,At Seventeen,Rock/Pop,Ian| Janis; REC: Janis Ian
1970,At The Chime Of A City Clock,Folk/Roots,Drake| Nick; REC: Nick Drake
1938,A-Tisket, A-Tasket,Jazz,Fitzgerald| E.| & Alexander| V.; REC: Ella Fitzgerald; Fats Waller; Chick Webb; Red Norvo; Django Reinhardt; Sara Hickman; Glenn Miller; Tommy Dorsey; Mildred Bailey
1982,Atomic Dog,R & B/Soul,Clinton| G.| Shider| G.| & Spradley| D.; REC: George Clinton
1997,Atomic Moog,Dance/Electronica,Coldcut| Blackmore| R.| & Brook| P.; REC: Coldcut
1972,Attica Blues,Jazz,Shepp| Archie; REC: Archie Shepp
1956,Auctioneer, The,Country/Bluegrass,Van Dyke| L| & Black| B.; REC: Gordon Lightfoot
1915,Auf Wiedersehn,Musical/Film,Romberg| S.| & Reynolds| H.; REC: Nelson Eddy
1997,Aural Prostitution,Dance/Electronica,DJ Vadim; REC: DJ Vadim
1974,Autobahn,Dance/Electronica,Hutter| R.| Schneider| F.| & Schult| E.; REC: Kraftwerk
1934,Autumn In New York,Jazz,Duke| Vernon; REC: Frank Sinatra; Billie Holiday; Mary Lou Williams; Ahmad Jamal
1950,Autumn Leaves,Jazz,Kosma| J.| & Mercer| J.; REC: Roger Williams; Art Pepper; Sarah Vaughan; Mary Lou Williams; Wynton Marsalis; Eva Cassiday; Ahmad Jamal; Benny Golson
1920,Avalon,Jazz,Rose| V.| & De Sylva| B. G.; REC: Jimmie Lunceford; Benny Goodman; Django Reinhardt; Al Jolson; Nat King Cole; Sarah Vaughan; Anita O'Day; Mary Lou Williams
1982,Avalon,Rock/Pop,Ferry| Bryan; REC: Roxy Music; M People; Valgardena; Sunday People
1929,Avalon Blues,Blues,Hurt| Mississippi John; REC: Mississippi John Hurt; Bill Morrissey
1998,Avon,Rock/Pop,Homme| J.| Hernandez| A.| & McBain; REC: Queens Of The Stone Age
1993,Award Tour,Hip-Hop,Tribe Called Quest| A; REC: A Tribe Called Quest
1928,Away Down In The Alley Blues,Blues,Johnson| Lonnie; REC: Lonnie Johnson; Eddie Lang
1955,Ay-te Te Fee,Folk/Roots,Chenier| Clifton; REC: Clifton Chenier
,,,
B (Song Title),,,
1971,Baba O'Riley,Rock/Pop,Townshend| Pete; REC: The Who
1927,Babbitt And The Bromide, The,Musical/Film,Gershwin| G.| & Gershwin| I.; REC: Fred Astaire; Gene Kelly
1969,Babe I'm Gonna Leave You,Rock/Pop,Bennett| P.| Bredon| A.| & Darling| E.; REC: Led Zeppelin
1926,Baby Face,Musical/Film,Akst| H.| & Davis| B.; REC: Eddie Cantor; Al Jolson; Sammy Kaye; Little Richard; The Kinks; Thin Lizzy; Bobby Darin; Tom Jones
1992,Baby Got Back,Hip-Hop,Sir Mix-A-Lot; REC: Sir Mix-A-Lot
1964,Baby I Need Your Loving,R & B/Soul,Holland| B.| Dozier| L.| & Holland| E.; REC: The Four Tops; Phoebe Snow
1965,Baby I'm Yours,R & B/Soul,McCoy| Van; REC: Barbara Lewis; Cilla Black; Petula Clark; Billy Preston; Tanya Tucker; Jody Miller
1964,Baby Love,R & B/Soul,Holland| B.| Dozier| L.| & Holland| E.; REC: The Supremes
1995,Baby Luv,Dance/Electronica,Larrieux| A.| Brown| D.| Wilson| B.| & Wilson| B. J.; REC: Groove Theory
1935,Baby Please Don't Go,Blues,Williams| Big Joe/Traditional; REC: Big Joe Williams; Lightnin' Hopkins; The Amboy Dukes; Big Bill Broonzy; John Hammond| Jr.; Muddy Waters; John Lee Hooker; Bob Dylan; The Orioles; Them; Mose Allison; Mississippi Fred McDowell; AC/DC
1985,Baby Wants To Ride,Dance/Electronica,Knuckles| Frankie; REC: Frankie Knuckles
1951,Baby What You Want Me To Do,Blues,Reed| Jimmy; REC: Jimmy Reed; Etta James
1949,Baby, It's Cold Outside,Jazz,Loesser| Frank; REC: Ella Fitzgerald & Louis Jordan; Rod Stewart
1930,Baby, Let Me Follow You Down,Blues,Davis| Rev. Gary; REC: Rev. Gary Davis; Bob Dylan
1965,Baby, Scratch My Back,Blues,Harpo| Slim; REC: Slim Harpo; Booker T & the MGs; The Yardbirds
